あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
みー なり ちち なり	みー なり ちち なり 〈見たり聞いた
みー ないん	みー ないん 〈見定める〉【活】〜なたん、〜
みー ぬがらすん	みー ぬがらすん 〈見逃してやる〉【活】〜
みー むん	みー むん〈催しもの〉 【例】ちゅーや み
みー はてぃーん	みー はてぃーん 〈見終わる〉【活】〜はて
みー やんぢゅん	みー やんぢゅん〈見損なう、見誤る〉【活】〜
みー ばっぺーいん	みー ばっぺーいん 〈見間違う〉【活】〜ば
みー はんだー	みー はんだー 〈期待はずれ〉 【例】ゐー
みー まんぢゅん	みー まんぢゅん 〈見守る〉【活】〜まんた
みうくいん	みうくいん 〈見送る〉【活】みうくたん、み
〜みかすん	〜みかすん 〈〜という音をたてる〉【活】〜み
みぐいん	みぐいん 〈廻る〉【活】みぐたん、みぐらん、
みぐ い	みぐ い 〈めぐり〉 【例】ふぃーみぐい（日
みじ	みじ 〈水〉 【例】ぬすどー むっちいかりー
みし ちぢ	みし ちぢ 〈飯粒〉 【例】めーまかいぬ み
みぐ らすん	みぐ らすん 〈巡らす、回す〉【活】みぐら
みじゅん	みじゅん 〈イワシ〉 【例】んかしぇー みじ
みくち	みくち 〈御骨〉 【例】ふるばかから みーば
みちーん	みちーん 〈閉める、満たす〉【活】みちたん、
みしーん	みしーん 〈見せる〉【活】みしたん、みしらん、
みしげー	みしげー 〈しゃもじ〉 【例】うちなーぐちぬ
みちくみーん	みちくみーん 〈閉じ込める〉【活】みちくみ
みち ばっぺー	みち ばっぺー 〈道で迷うこと〉 【例】
みしがら	みしがら 〈身一つ〉 【例】ありんくりん 
みちゅん	みちゅん 〈満つ〉【活】みっちゃん、みたん、
みみ	みみ 〈耳〉 【例】いちむしぇー くぃー か
みみ がー	みみ がー 〈（豚の）耳皮〉 【例】みみがー
みち すー	みち すー 〈満潮〉 【参】ふぃち すー。
みっくゎー	みっくゎー 〈盲人〉【活】＝みーぬ ふじゆ
みっくゎさ すん	みっくゎさ すん 〈憎い〉【活】〜さん、〜
みっちゃ	みっちゃ 〈三日〉 【例】うぬ くすいぬ 
みっちゃい	みっちゃい 〈三人〉 【例】みっちゃい す
みみ くじやー	みみ くじやー 〈耳かき〉 【例】あまんか
みみぬ ふぁー	みみぬ ふぁー 〈耳全体〉 【例】みみぬ
みん くじらー	みん くじらー 〈耳がわるい者〉 【例】わ
みみがに	みみがに 〈理解力〉 【例】みみがにぬ あ
みみじゃー	みみじゃー 〈ミミズ〉 【例】っやーが か
みっちゃかいん	みっちゃかいん 〈満ちる〉【活】みっちゃ
みみぢゅん	みみぢゅん 〈揉む〉【活】みみぢゃん、みみ
みんぐゎすん	みんぐゎすん 〈かき回す〉【活】みんぐゎち
みむち	みむち 〈身持ち〉 【例】あぬ っちょー く
みんくゎーうー	みんくゎーうー 〈作り顔〉 【例】わらび
みるく	みるく 〈弥勒〉 【例】みるくぬ うかみがな
みんさー	みんさー 〈布の一種〉 【例】うーべー み
みゅんち	みゅんち 〈お顔〉 【例】あやかいぶさいび
みんちゃむん	みんちゃむん 〈目に入ったゴミ〉 【例】み
みんな	みんな 〈るりはこべ〉 【例】ふぃーじゃーぬ
みんぐぃーん	みんぐぃーん 〈濁る〉【活】みんぐぃたん、
むいん	むいん 〈漏れる〉【活】むたん、むらん、むて
むい にんしーん	むい にんしーん 〈守りをして寝かせる〉
むーちー びーさ	むーちー びーさ 〈むーちー（⻤餅）寒
むいん	むいん 〈もぎ取る〉【活】むたん、むらん、む
むえー	むえー 〈模合〉 【例】ちちむえーや ちゅち
むいん	むいん 〈盛る〉【活】むたん、むらん、むてぃ
むいん	むいん 〈子守りをする〉【活】むたん、むらん、
むくい	むくい 〈恩恵、報い〉 【例】あまぬ うやふ
むげーいん	むげーいん 〈沸騰する〉【活】むげーたん、む
むさげーいん	むさげーいん 〈にぎやかに騒ぐ〉【活】むさ
むじゅむじゅー すん	むじゅむじゅー すん 〈むずむずする〉
むし	むし 〈もし〉 【例】ありんかい っしとぅら
むすび くーぶ	むすび くーぶ 〈結び昆布〉 【例】むす
むし	むし 〈虫〉 【例】ありんかえー にーぶやー
むたぶん	むたぶん 〈遊びをする〉【活】むただん、むた
〜むたーん	〜むたーん 〈〜遊び〉 【例】わらべー ど
むし くぇー ばー	むし くぇー ばー 〈虫⻭〉 【例】むし
むじ くじ	むじ くじ 〈ものの道理〉 【例】しめー 
むじゃらくゎじゃら すん	むじゃらくゎじゃら すん 〈うじゃ
むち	むち 〈餅〉 【例】じゅーぐやーに あかまー
むちとぅ かーさ	むちとぅ かーさ 〈男女の親密な関係〉
むち	むち 〈漆喰〉
むち ちちゃー	むち ちちゃー 〈漆喰作りの職人〉 【例】
むちめー	むちめー 〈独特〉 【例】うちなーぬ なー
むぢゅくいん	むぢゅくいん 〈（芽や蕾が）できかかる〉
むぢゅく い	むぢゅく い 〈農作物〉 【例】なちぬ 
むちゅん	むちゅん 〈持つ〉【活】むっちゃん、むたん、
むち にー	むち にー 〈手荷物〉 【例】ひこーじょー
むち のーすん	むち のーすん 〈持ち直す〉【活】〜のーち
むち はんでぃーん	むち はんでぃーん 〈持ち崩す〉【活】〜は
むち くゎいん	むち くゎいん 〈引きずり込む〉【活】〜く
むち ばんめー	むち ばんめー 〈弁当〉 【例】しくち ふ
むち すく	むち すく〈位牌の守り主〉 【例】むちすこ
むち めー	むち めー 〈負担額〉 【例】ちゅいなー 
むち っくゎ	むち っくゎ 〈負担加重〉 【例】どぅーぬ
むち んちゅん	むち んちゅん 〈持ち込む〉【活】〜んちゃ
むち なし	むち なし 〈手入れ〉 【例】んかしぬ で
むち っんぶさ	むち っんぶさ 〈気が重いこと〉 【例】っ
むちりーん	むちりーん 〈くっつき合う〉【活】むちりた
むでぃ けーらすん／むでぃ とーす	むでぃ けーらすん／むでぃ とーす
ん	ん〈ひねり倒す〉【活】むでぃけーらちゃん／む
むっくー	むっくー 〈形状が小さいもの〉 【例】くま
むっちゃかいん	むっちゃかいん 〈くっつく〉【活】むっち
むてぃわかすん	むてぃわかすん 〈特別待遇する〉【活】む
むてーいん	むてーいん 〈盛んになる〉【活】むてーたん、
むっちょーふぃっちょー すん	むっちょーふぃっちょー すん 〈も
むてーい さけーい すん	む て ー い   さ け ー い   す ん 〈栄 え る〉
むてぃ	むてぃ 〈方角〉 【例】いったー やーや み
むとぅ	むとぅ 〈もとで、元金、元〉 【例】やしうい
むでぃーん	むでぃーん 〈ひねる〉【活】むでぃたん、む
〜むとぅ	〜むとぅ 〈（生えている竹の）〜本〉 【例】ち
むどぅるちゅん	むどぅるちゅん 〈視力が衰える、ためら
むどぅいん	むどぅいん 〈戻る〉【活】むどぅたん、むど
むぬ	むぬ 〈もの、ことば〉 【例】むのー うさが
むどぅすん	むどぅすん 〈戻す〉【活】むどぅちゃん、む
むどぅちゅん	むどぅちゅん 〈さからう〉【活】むどぅちゃ
むとぅーいん	むとぅーいん 〈⻑続きする〉【活】むとぅー
むにー	むにー 〈もの言い〉 「むぬ いー」から３
むとぅーすん	むとぅーすん 〈⻑続きさせる〉【活】むとぅ
むぬ いー ぐぃー	むぬ いー ぐぃー 〈話し声〉 【例】ま
むぬ いー じょーじ	むぬ いー じょーじ 〈話上手〉 【例】
むとぅ びれー（ぐゎー）	むとぅ びれー（ぐゎー）〈元恋人〉
むぬ いー たなり	むぬ いー たなり〈ものの言い方〉 【例】
むぬ いー はじみ	むぬ いー はじみ 〈ことばを話始めるこ
むぬ いりみ／っんぢり めー	むぬ いりみ／っんぢり めー 〈収入／
むぬ わしー	むぬ わしー 〈もの忘れ〉 【例】あれー 
むぬ われー	むぬ われー 〈もの笑い〉 【例】っちゅん
むぬ うじ	むぬ うじ 〈もの怖じ〉 【例】あれー ま
むん ぬき むん	むん ぬき むん 〈魔除け〉 【例】シーサ
むぬ うび	むぬ うび 〈記憶力〉 【例】ちかぐろー 
むぬ うみー	むぬ うみー 〈思いつめること〉 【例】あ
むぬ	むぬ 〈道理〉 【例】あれー むのー うまー
むぬ あかしぇー	むぬ あかしぇー 〈謎解き〉 【例】むぬあ
むぬ くくん あびー	むぬ くくん あびー 〈ふくみ声〉 【例】
むぬ かんげー	むぬ かんげー 〈筋道をたてて考えること〉
むぬ じち	むぬ じち 〈もの好き〉 【例】うさきなー
むん ならーし	むん ならーし 〈しつけること〉【活】むん
むぬ まいー	むぬ まいー 〈神隠し〉 【例】むぬまいー
むぬ	むぬ 〈食べ物〉 【例】なげー くちにーさた
むぬ ゆまー	むぬ ゆまー 〈おしゃべり〉 【例】っやー
むぬ くーい	むぬ くーい 〈物乞い〉【活】むぬ くーや
むんぬ ゆく	むんぬ ゆく 〈食欲〉 【例】なちぇー あ
むぬ ぐし	むぬ ぐし 〈食べ物の好き嫌い〉 【例】あ
むむ	むむ 〈腿〉 【例】わかさる じぶのー むむ
むぬ ぐし すん	むぬ ぐし すん 〈食べ物の好き嫌いをす
むぬ ふさ すん	むぬ ふさ すん 〈もの欲しそうにする〉
むむとぅ	むむとぅ 〈百年、百歳〉 【例】っやーとぅ
むむん	むむん 〈もめる〉【活】むだん、むまん、むでぃ
むるさー げーやー すん	むるさー げーやー すん 〈ごろご
むぬ じぶん	むぬ じぶん 〈食事時間〉【活】むぬ いみ
むるし げーいん	むるし げーいん 〈かたまりができる〉
むぬ すがい	むぬ すがい 〈食事の支度〉 【例】むぬす
むんぬ ごーぐち	むんぬ ごーぐち 〈食べ物の不平不満〉
むる のーい	むる のーい 〈全快〉 【例】どぅー あん
むん	むん 〈もの、道理、食べ物〉 【例】「むぬ」の縮
むん だに	むん だに 〈餌食〉 【例】むんだにんかい
むん	むん 〈よ（終助詞）〉 【例】えーじ しーねー
むん がたい じち	むん がたい じち 〈話好き〉 【例】わ
むんちゅー じゅりー	むんちゅー じゅりー 〈一門の集まり〉
むん がりー	むん がりー 〈飼料〉 【例】っわーぬ 
むん ぐん	むん ぐん 〈文言〉 【例】むんぐん かち
むんちゅー ばか	むんちゅー ばか 〈門中墓〉 【例】うし
むんどー	むんどー 〈問題、けんか〉 【例】ありが 
むん ざーい	むん ざーい 〈蕁麻疹〉 【例】あったに
めー	めー 〈前〉 【例】いったー やーぬ めーん
めー ごーい	めー ごーい 〈前もって買うこと〉 【例】
めー しらし	めー しらし 〈前兆〉 【例】でぃーぐぬ 
めー あが いん	めー あが いん 〈増⻑する〉 【参】めー
めー あがい すん	めー あがい すん 〈増⻑する〉【活】〜さ
めー ちんたー すん	めー ちんたー すん 〈前につんのめるこ
めーない ない すん	めーない ない すん〈でしゃばる〉【活】〜
めー がい すん	めー がい すん 〈前借りする〉【活】〜さ
めー ばー	めー ばー 〈前⻭〉 【例】どぅく まーさ
めー かに よーじょー	めー かに よーじょー 〈予防〉 【例】
めー ばれー	めー ばれー 〈前払い〉 【例】てぃまー 
めー	めー 〈飯米〉 【例】めーぬ まーさる まか
めー	めー 〈毎〉 【例】めーあさ ふぇーうきっし
めー	めー 〈枚（着物、紙、お札を数える単位）〉
めーさー	めーさー 〈燃料〉 【例】めーさーや たむ
〜めー	〜めー 〈お金〉 【例】ちゅいなー ちゅい
めーさー	めーさー 〈おべっかを使う者〉 【例】うぃ
〜めー	〜めー 〈尊敬辞〉 【例】んかしぇー をーん
めーいん	めーいん 〈燃える〉【活】めーたん、めーら
めーうぃきが	めーうぃきが 〈紳士、殿がた〉 【例】めー
めーし／うめーし	めーし／うめーし 〈箸〉 【例】てぃーん
めーすん	めーすん 〈燃やす〉【活】めーちゃん、めーさ
もー	もー 〈野〉 【例】わったー はろー うっち
もーきーん	もーきーん 〈もうける〉【活】もーきたん、も
もー いちゅび	もー いちゅび 〈野いちご〉 【例】もーい
〜もー	〜もー 〈無し〉 【例】てぃーもー（手がない
もーき じゅく	もーき じゅく 〈アルバイト、儲け一本槍〉
もーいん	もーいん 〈（即興的に）踊る〉【活】もーたん、
もーしゃぎ	もーしゃぎ 〈告げ口〉 【例】もーしゃぎ 
もーいん	もーいん 〈行く、来る（敬語）〉【活】もーち
もーどー	もーどー 〈心が乱れるさま〉 【例】あった
やー	やー 〈家、屋〉 【例】あしじゃやー（下駄屋）、
やー うーちー	やー うーちー 〈引っ越し〉 【例】やくど
やー うち	やー うち 〈内々の〉 【例】やーうちぬ 
やー ぐなー	やー ぐなー 〈家族〉 【例】やーんかい 
やー ぐま やー	やー ぐま やー 〈家にこもって出歩かな
やー いぢゃー	やー いぢゃー 〈内弁慶〉 【例】ふかん
やー じしー	やー じしー 〈家に慣れないさま〉 【例】
やー たちゃー／やー わかやー	やー たちゃー／やー わかやー 〈分家
やー どぅい	やー どぅい 〈都落ちをした士族の集落〉
やー なれー	やー なれー 〈家でのしつけ〉 【例】やー
やーぬ ぬーし	やーぬ ぬーし 〈家主〉 【例】まぎくーば
やーぬ ばーん	やーぬ ばーん 〈留守番〉 【例】しらんち
やーさ	やーさ 〈ひもじいこと〉 【例】やーさ まー
やーさ がみー	やーさ がみー〈がつがつ食うこと〉 【例】
やーさ じに	やーさ じに 〈飢え死に〉 【例】ゆぬなか
やーさ のーし	やーさ のーし〈空腹の一時しのぎ〉 【例】
やーどぅー、やーるー	やーどぅー、やーるー 〈ヤモリ〉 【例】
やいん	やいん 〈破る〉【活】やたん、やらん、やてぃ
やー むちゃー	やー むちゃー 〈しっかり家計を支えてい
やー ん なー	やー ん なー 〈屋号〉 【例】いったー 
やい ほーいん	やい ほーいん 〈ずたずたに破る〉【活】〜
やきーん	やきーん 〈焼ける〉【活】やきたん、やきら
やか	やか 〈より〉 【例】あり やか くれー ま
やから／やからむん	やから／やからむん 〈しっかり者、頼り
やく	やく 〈役〉 【例】くち ぱくぱくーや／くち
やぐさみむん	やぐさみむん 〈未亡人〉 【例】やぐさみ
やぐみさ	やぐみさ 〈恐れ多いこと〉 【例】やぐみさ
やゑーさに？	やゑーさに？〈〜ではないか（確認）〉 【例】
やしぇー	やしぇー 〈野菜〉 【例】むぬ かむる ば
やく	やく 〈厄〉 【例】やーぬうちんかい とぅび
やし がるー	やし がるー 〈痩せてほっそりしている子、
やし ごーい	やし ごーい 〈安く買うこと〉 【例】た
やち むん	やち むん 〈陶器〉 【例】んかしぬ やー
やしないん	やしないん 〈養う〉【活】やしなたん、やし
やしない んぐゎ	やしない んぐゎ 〈養子〉 【例】うちなー
やしむん	やしむん 〈休む〉【活】やしだん、やしまん、
やちりーん	やちりーん 〈やつれる〉【活】やちりたん、や
やっくゎ	やっくゎ 〈高木の上の物見やぐら〉 【例】な
やすんじーん	やすんじーん 〈許してあげる、あきらめる〉
やっくゎん	やっくゎん 〈やかん〉 【例】ちび あちら
やっけー	やっけー 〈世話、困ったこと〉 【例】っちゅ
やちゅん	やちゅん 〈焼く〉【活】やちゃん、やかん、や
やっちー	やっちー 〈兄さん（士族）〉 【例】あまぬ 
やっぱいん	やっぱいん 〈踏ん張る〉【活】やっぱたん、や
やな がたー	やな がたー 〈悪い形のもの〉 【例】うれ
やな がんまり すん	やな がんまり すん 〈ふざける〉 【例】
やな むん	やな むん 〈嫌なやつ、悪霊〉 【例】とぅ
やとぅ〜	やとぅ〜〈特大な〜〉 【例】やとぅ むち（特
やとぅ まぎさん	やとぅ まぎさん 〈巨大である〉
やとぅ まぎー	やとぅ まぎー 〈巨大なもの〉
やどぅいん	やどぅいん 〈宿泊する〉【活】やどぅたん、や
やにーん	やにーん 〈竹を細く削る〉【活】やにたん、や
やどぅ ちん	やどぅ ちん 〈宿泊代〉 【例】やどぅちん
やびりーん	やびりーん 〈体が弱くなる、衰弱する〉【活】
やな〜	やな〜〈嫌、悪〉 【例】やなー（上等ではない
やびり むん／やびらー	やびり むん／やびらー 〈体が弱い者〉
やふぁた ぐさ	やふぁた ぐさ 〈紫カタバミ〉 【例】ん
やふぁらちゅん	やふぁらちゅん 〈やわらくなる、体が弱
やふぁらきーん	やふぁらきーん 〈やわらくする、和解させ
やま んかぢ	やま んかぢ 〈サソリ〉 【例】やまんかぢ
やま かーがー	やま かーがー 〈人見知りの者〉 【例】＝
やま1	やま 1 〈森林〉 【例】やま あっちゃー（林業従事者）。やま あっちゅん。（林業に従事す
やま2	やま 2 〈逸脱した状態〉 （人に対して）非嫡出、乱暴；（物に対して）非認可；（状況に対し
やま ぐー	やま ぐー 〈乱暴者〉 【例】＝ぼーちらー、
やま あったみ	やま あったみ〈イノシシの肉〉 【例】「い
やますん	やますん 〈ケガをする、傷つける〉【活】やま
やまとぅ	やまとぅ 〈大和、本土日本〉 【例】やまと
やまとぅ ぐゆみ	やまとぅ ぐゆみ 〈新暦〉 【例】うちなー
やまとぅ じふぇー	やまとぅ じふぇー 〈本土日本人の気の早
やみ ち	やみ ち〈病み気〉 【例】どぅーぬ いふな
やん	やん 〈痛み〉 金城（1997, 71-72 頁）には、次
やみーん	やみーん 〈やめる〉【活】やみたん、やみら
やむん	やむん 〈止む〉【活】やだん、やまん、やでぃ
やむん	やむん 〈痛める、病む〉【活】やだん、やまん、
やらすん	やらすん 〈遣らす、行かせる〉【活】やらちゃ
やりーん	やりーん 〈（着物や紙が）破れる〉【活】やり
やんでぃーん	やんでぃーん 〈（物、道具が）壊れる、破れ
やんぢゅん	やんぢゅん 〈こわす、だめにする、破る〉【活】
やんばる ぶに	やんばる ぶに 〈ヤンバル船〉 【例】い
やんむち	やんむち 〈鳥モチ〉 【例】やんむちぇー き
〜やんぢゅん	〜やんぢゅん 〈〜そこなう〉【活】〜やんぢ
やんめー	やんめー 〈病気〉 【例】わんねー やんめー
っやー	っやー 〈お前、君〉 【例】っやー むのー 
っやー くる／っやん くる	っやー くる／っやん くる 〈あなた自
ゐー	ゐー 〈結い〉
ゐーん	ゐーん 〈坐る〉【活】ゐちゃん、ゐらん、ゐち
ゐー まーるー	ゐー まーるー 〈助け合い〉 【例】んか
ゐー〜	ゐー〜〈良い〉 【例】ゐーばー（良い機会）、ゐ
ゐー ちちゅん	ゐー ちちゅん〈適応して落ち着く〉【活】〜
ゐー ぐくち	ゐー ぐくち 〈いい心地〉 【例】むいぬ 
ゐぬ	ゐぬ 〈同じ〉 いも（同妹）、いもせ（同背）に
ゐー にーぶい	ゐー にーぶい 〈座ったままの居眠り〉
ゐーゆん	ゐーゆん 〈もらう、もてあそぶ〉【活】ゐーた
ゐしーん	ゐしーん 〈据え置く／落ち着かせる〉【活】 
ゐん	ゐん 〈縁故、ゆかり〉 【例】っやーとぅ わん
ゐーり むん	ゐーり むん 〈玩具、もらい物〉 【例】ゆ
ゆい	ゆい 〈ユリ〉 【例】めーにん いーじまをぅ
ゆいん	ゆいん 〈地震が起こる、寄る〉【活】ゆたん、ゆ
ゆー	ゆー 〈夕、夜〉
ゆー がらさー	ゆー がらさー 〈夜ガラス〉 【例】がらさ
ゆー	ゆー 〈世〉 【例】ゆーや してぃてぃん み
ゆーき	ゆーき 〈夜更かし〉 【例】わかさる うちぇ
ゆー	ゆー 〈湯〉 【例】ゆーんかい ちかいねー、を
ゆー まんぐぃ、ゆまんぐぃ	ゆー まんぐぃ、ゆまんぐぃ 〈夕暮れ時〉
ゆー ふる	ゆー ふる 〈風呂〉 【例】してぃみてぃ 
ゆっくゎすん	ゆっくゎすん 〈夜を明かす〉【活】ゆっくゎ
ゆー げーら すん	ゆー げーら すん 〈火傷する〉【活】〜げ
ゆっくぃーん	ゆっくぃーん 〈夜が暮れる〉【活】ゆっくぃ
ゆーゆー	ゆーゆー 〈鶏（小児語）〉 【例】ゆーゆーぐ
ゆさんでぃ	ゆさんでぃ 〈夕方暗くなる頃〉 【例】ゆさ
ゆさんでぃ あけーい	ゆさんでぃ あけーい〈夕焼け〉 【例】ゆ
ゆながた／ゆながたさながた	ゆながた／ゆながたさながた 〈夜通し〉
ゆかいん	ゆかいん 〈作物がよくできる、生い茂る〉【活】
ゆかさ	ゆかさ 〈床下〉 【例】んかしぇー からゆか
ゆーいん	ゆーいん 〈結う〉【活】ゆたん、ゆらん、ゆて
ゆーちら	ゆーちら 〈徳、役〉 【例】っやーや ゆー
ゆがふー	ゆがふー 〈豊年満作の年、世果報〉 【例】し
ゆーな	ゆーな 〈オオハマボウ〉 【例】ゆーなぬ は
ゆがみーん	ゆがみーん 〈ゆがめる〉【活】ゆがみたん、ゆ
ゆかる	ゆかる 〈佳き〉 【例】とぅしびー やくとぅ、
ゆくし むにー	ゆくし むにー 〈嘘つき（行為）〉 【例】ゆ
ゆく／ゆーく	ゆく／ゆーく 〈欲〉 【例】どぅー むち
ゆくし むにー さー	ゆくし むにー さー 〈嘘つき（者）〉
ゆく	ゆく 〈横〉
ゆくいん	ゆくいん 〈休む〉【活】ゆくたん、ゆくらん、
ゆくゎーすん	ゆくゎーすん 〈休ませる〉【活】ゆくゎーち
ゆくい どぅくる	ゆくい どぅくる 〈休憩所〉 【例】やんば
ゆく ぬーでぃー	ゆく ぬーでぃー 〈気管〉 【例】むぬぬ 
ゆく むにー	ゆく むにー〈横から口出すこと、はぐらか
ゆく ばい すん	ゆく ばい すん 〈逸れる〉 【例】あれー
ゆくすん	ゆくすん 〈誘う〉【活】ゆくちゃん、ゆくさ
ゆくねー	ゆくねー 〈夜中〉 【例】ゆくねー ぐらしん
ゆくし	ゆくし 〈嘘〉 【例】あかゆくさー／そーゆく
ゆくらすん	ゆくらすん 〈休ませる〉【活】ゆくらちゃん、
ゆぐすん	ゆぐすん 〈汚す〉【活】ゆぐちゃん、ゆぐさ
ゆし どーふ	ゆし どーふ 〈おぼろ豆腐〉 【例】ちゅ
ゆぐりーん	ゆぐりーん 〈汚れる〉【活】ゆぐりたん、ゆ
ゆぐり むん	ゆぐり むん 〈汚れ物〉 【例】ゆぐりむの
ゆじーん	ゆじーん 〈譲る〉【活】ゆじたん、ゆじらん、
ゆしぢゅん	ゆしぢゅん 〈ゆすぐ〉【活】ゆしぢゃん、ゆ
ゆし あし	ゆし あし 〈善し悪し〉 【例】むぬぐとぅ
ゆしむん	ゆしむん 〈立ち止まる、思いとどまる〉【活】
ゆしーん	ゆしーん 〈諭す、忠告する〉【活】ゆしたん、
ゆし ぐとぅ	ゆし ぐとぅ 〈諭すことば、教訓〉 【例】
ゆしみーん	ゆしみーん 〈立ち止まらせる、思いとどませ
ゆしーん	ゆしーん 〈寄せる〉【活】ゆしたん、ゆしらん、
ゆしりーん	ゆしりーん 〈寄って来る〉【活】ゆしりたん、
ゆっかぬ ふぃー	ゆっかぬ ふぃー 〈旧暦 5 月 4 日〉 【参】
ゆす	ゆす 〈他所〉 【例】ゆすたにん やてぃん い
ゆすぬ みー／ゆすみ	ゆすぬ みー／ゆすみ 〈他人の目〉 【例】
ゆったいくゎったい すん	ゆったいくゎったい すん 〈だぶん
ゆてぃーん	ゆてぃーん 〈こぼす〉【活】ゆてぃたん、ゆ
ゆだ	ゆだ 〈枝〉 大和古語の「よ」と、「万朶の桜」
ゆてぃりーん	ゆてぃりーん 〈こぼれる〉【活】ゆてぃりた
ゆでぃーん	ゆでぃーん 〈ゆでる〉【活】ゆでぃたん、ゆ
ゆだい	ゆだい 〈よだれ〉 【例】くさりむんぬ ゆだ
ゆにぬ うゆうぇー	ゆにぬ うゆうぇー 〈米寿（88 歳）のお祝い〉 【参】とーかちぬ うゆうぇー（85 歳
ゆだい じーじー	ゆだい じーじー 〈生唾が出てきているさ
ゆたみちゅん	ゆたみちゅん 〈揺れ動く〉【活】ゆたみちゃ
ゆぶん	ゆぶん 〈呼ぶ〉【活】ゆだん、ゆばん、ゆでぃ
ゆみ	ゆみ 〈嫁〉 【例】うちなーをぅてー ゆみど
ゆみ いびらー	ゆみ いびらー 〈嫁いびりする姑〉 【例】
ゆらいん	ゆらいん 〈分け合う〉【活】ゆらたん、ゆらー
ゆむん	ゆむん 〈読む、数える、詠む〉【活】ゆだん、ゆ
ゆむん	ゆむん 〈悪口を言う〉【活】ゆだん、ゆまん、ゆ
ゆらりーん	ゆらりーん 〈集まる〉【活】ゆらりたん、ゆ
ゆるじな くとぅ	ゆるじな くとぅ 〈余計なこと〉 【例】
ゆるじな むん	ゆるじな むん 〈間食〉 【例】っやーや
ゆるみーん	ゆるみーん 〈緩める、放す〉【活】ゆるみた
ゆれー	ゆれー 〈模合い〉 【例】わんねー くじ や
ゆゆ／ゆい	ゆゆ／ゆい 〈節から節までの間〉 【例】大
ゆれーいん	ゆれーいん 〈寄り合う、集まる〉【活】ゆれ
ゆんたー うぃなぐ、ゆんたー ふぃんたー うぃなぐ	ゆんたー うぃなぐ、ゆんたー ふぃんたー うぃなぐ 〈おしゃべり
ゆんたく	ゆんたく 〈おしゃべり〉
ゆんたくー	ゆんたくー 〈おしゃべり好き〉 【参】ゆん
ゆんかんしーん／ゆみかんしーん	ゆんかんしーん／ゆみかんしーん
よーいん	よーいん 〈弱る〉【活】よーたん、よーらん、
よーがりーん	よーがりーん 〈痩せる〉【活】よーがりた
よーがり むん	よーがり むん 〈痩せっぽち〉 【例】あ
よーし	よーし 〈様子、容態〉 【例】ちゃぬ ふーじ
よーい むん	よーい むん 〈弱ったもの〉 【例】くぬ 
よーがー	よーがー 〈歪んだもの、まがったもの〉 【例】
よーそーいん	よーそーいん 〈かまわずにいる〉【活】よー
よーがー ふぃーがー すん	よーがー ふぃーがー すん 〈曲がって
よーそーちゅん	よーそーちゅん 〈やめておく〉【活】よー
よーか びー	よーか びー 〈旧暦 8 月 8 日の厄よけ〉【例】よーかびーねー やしちぬ うがみん う
よーばー	よーばー 〈弱虫〉 【例】ゐぬ っちゅどぅ 
よーみ	よーみ 〈弱いところ〉 【例】わん くるま
〜らーさ	〜らーさ 〈らしさ〉 【例】うちなーらーさ
りー	りー 〈利息〉 【例】たかりーとぅやーぬ じ
りーぢ さふー	りーぢ さふー 〈礼儀作法〉 【例】まちげ
りー	りー 〈霊〉
〜りかー	〜りかー 〈〜のあたり〉 【例】いゆまちぇ
りー じん／ぐ りー じん	りー じん／ぐ りー じん 〈御霊前〉
りくち	りくち 〈ずる賢いこと〉 【例】さき ぬまー
りーち	りーち 〈茘枝〉 【例】りーちぇー とーから
りーぢ	りーぢ 〈礼儀〉 【例】なまぬ わかむのー 
りーぢ げーし	りーぢ げーし 〈贈り物のお返し〉 【例】
りくちゃー	りくちゃー 〈ずる賢い人〉 【例】あれー 
〜りば、〜れー	〜りば、〜れー 〈条件、已然〉 【例】ちゃ
りんち	りんち 〈嫉妬〉 【例】どぅーやか すぐりた
〜りわ、〜らー	〜りわ、〜らー 〈条件、未然〉 【例】ち
りんくゎー	りんくゎー 〈防寒用の着物の一種〉 【例】
るー／どぅー	るー／どぅー 〈龍〉 【例】るーや るー
るぐゎい／どぅぐゎい	るぐゎい／どぅぐゎい 〈アロエベラ、⻯
るーか	るーか 〈琉歌〉 【例】るーかー るーちゅー
るーちゅー／どぅーちゅー	るーちゅー／どぅーちゅー 〈琉球〉
ろー	ろー 〈ロウソク〉 【例】うふかじに でんきぬ
ろーま	ろーま 〈もうろく〉 【例】っちょー むる 
わー／わん	わー／わん 〈私〉 【例】わんにんかい（私
わかさ い に	わかさ い に 〈若い時〉 【例】わかさい
わか じーら	わか じーら 〈産後の浅いからだ〉 【例】
わー どぅー	わー どぅー 〈我が身〉 【例】ぬちぇー 
わん くる	わん くる 〈私自身で〉 【例】どぅーぬ 
わーきー	わーきー 〈分け前〉 【例】ちゅくい わー
わか しらぎ	わか しらぎ 〈若白髪〉 【例】わかしらげ
わか なち	わか なち 〈若夏〉 【例】すーまんぼーす
わか みじ	わか みじ 〈若水〉 【例】そーぐゎちねー
わか〜	わか〜〈若〉 【参】「わかさん」（若い）からの
わか げー いん	わか げー いん 〈若返る〉【活】わかげー
わか むん	わか むん 〈若者〉 【例】なまぬ わかむ
わか うぃなぐ	わか うぃなぐ 〈若い女性〉【活】わか う
